UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
ONLY NEWS,@DoankWarto,2023-04-04T22:12:01.000Z,"ONLY NEWS
@DoankWarto
·
Apr 5","Kata UAS : Pejabat yg memberi Izin rumah ibadah NON MUSLIM dapat dosa JARIYAH, yakni dosa yg akan terus mengalir walau sudah meninggal dunia.

Waduuh ...ngeri  !!!",,238,62,155,['https://pbs.twimg.com/media/Fs5xrFHaAAAFrlo?format=jpg&name=900x900'],https://twitter.com/DoankWarto/status/1643375901135237120
(---) Onesmo Mushi,@EduTalkTz,2023-04-04T04:24:33.000Z,"(---) Onesmo Mushi
@EduTalkTz
·
Apr 4","OMBI!

Nikipata watu 1,000 tu watakaoungana nami, tukajitolea shilingi 100 tu (Mia moja) kwa siku kama sadaka, kila mwezi tutakuwa na uwezo wa kuwapa sare za shule wanafunzi zaidi ya 200 wanaoishi kwenye mazingira magumu kama huyu hapa. Shilingi 100 tu kwa siku. 

#DalaTu",,111,178,589,['https://pbs.twimg.com/media/Fs19V_pXoAERjXS?format=jpg&name=900x900'],https://twitter.com/EduTalkTz/status/1643107262305562624
Sir-Rap-A-Lot,@Osama_otero,2023-04-04T06:26:46.000Z,"Sir-Rap-A-Lot
@Osama_otero
·
Apr 4","I received this sad and heartbreaking DM. Mbona insurance companies hupenda kuzungusha watu sana? In this case it is 
@Amaco_Ltd",,62,380,469,"['https://pbs.twimg.com/media/Fs2ZT4-aQAEJmH7?format=jpg&name=360x360', 'https://pbs.twimg.com/media/Fs2ZUkhakAIrJr7?format=jpg&name=small']",https://twitter.com/Osama_otero/status/1643138021200478209
P'site Shio,@Psiteshio1,2023-04-04T07:29:18.000Z,"P'site Shio
@Psiteshio1
·
Apr 4","Weka jina lako la kampuni nikuundie logo 1 buree.

Watu 10 wa kwanza tu watakao retweet na Kuni follow watapata logo.

Logo hizi zote zitakuja bila icon yoyote, kujaribu huduma zetu.

Retweet, weka jina.",,203,108,469,['https://pbs.twimg.com/media/Fs2noV5XsAIuCPV?format=jpg&name=small'],https://twitter.com/Psiteshio1/status/1643153754416463873
veralia,@ayliskin,2023-04-04T02:36:56.000Z,"veralia
@ayliskin
·
Apr 4","Gara2 pake parfum barunya 
@saffnco
 yg collabs sama Crayon Shinchan x Tahilalats.

Temenku tiba2 nyletuk “kamu kok tambah manis wanginya kayak coklat yg fresh deh”

Sumpah berasa di notice mengalihkan dunia vibesnya bikin kita jadi cewek kue yg ngangenin

#ChildhoodMemories",😭,41,244,251,"['https://pbs.twimg.com/media/Fs1ktEmaMAAkLwU?format=jpg&name=360x360', 'https://pbs.twimg.com/media/Fs1ktEuaQAAVVkT?format=jpg&name=360x360', 'https://pbs.twimg.com/media/Fs1ktEsaQAA66ek?format=jpg&name=360x360', 'https://pbs.twimg.com/media/Fs1ktElaAAEc4qj?format=jpg&name=360x360']",https://twitter.com/ayliskin/status/1643080179978473472
a_brave_man_,@mbalwa_yona_,2023-04-08T14:37:25.000Z,"a_brave_man_
@mbalwa_yona_
·
Apr 8",Ili upate followers ni lazima ushushe handle yako watu watakufollow ,🔥 🔥 👇,22,25,32,['https://pbs.twimg.com/media/FtMv-qPWwAIwOs3?format=jpg&name=small'],https://twitter.com/mbalwa_yona_/status/1644711046987362305
UNCLE`,@lil_mike_ke,2023-04-13T04:01:50.000Z,"UNCLE`
@lil_mike_ke
·
3h",Tuelewane kitu watu wa nduthi hawaezi beba ni mimba pekee ama,😂 🫴,9,47,66,[],https://twitter.com/lil_mike_ke/status/1646363037425713154
Tanzania Abroad TV,@AbroadTanzania,2023-04-12T09:16:33.000Z,"Tanzania Abroad TV
@AbroadTanzania
·
21h","Mpina: Panya anayejaribu kumvisha paka kengele!

Kuna usemi unasema, ""Usimuone kima mjini ukamrushia jiwe (yaani hakufika pale peke yake).""

Pale bungeni wapayukaji ni wengi, lakini zinapotokea 'sensitive issues' kwa maslahi ya taifa katikati ya hao wapayukaji kuna watu maalum…",,25,41,383,['https://pbs.twimg.com/media/FtgM5fZacAAYeKv?format=jpg&name=360x360'],https://twitter.com/AbroadTanzania/status/1646079850174894090
𝙴𝚁𝙲𝚄𝚁𝚁𝚈_𝚃𝚉,@ercurry_Tz,2023-04-04T10:43:57.000Z,"𝙴𝚁𝙲𝚄𝚁𝚁𝚈_𝚃𝚉
@ercurry_Tz
·
Apr 4",Skiza leo watu wengi wanapata followers ni wewe tu kuweka handle yako chap chap,,54,15,92,['https://pbs.twimg.com/media/Fs3ULzXX0AA4tbx?format=jpg&name=small'],https://twitter.com/ercurry_Tz/status/1643202742914019330
Patric PH,@patric_ph,2023-04-04T08:49:24.000Z,"Patric PH
@patric_ph
·
Apr 4","Why would one hates on accolades that Ngwair is receiving unless it's a kid who missed a moment to witness greatness? 

Muziki unaishi katika mioyo ya watu, haiwezi kufutika namna muziki wa Ngwair umekonga mioyo ya mashabiki maelfu kwa maelfu.

Legacy lives on.",,2,5,20,['https://pbs.twimg.com/media/Fs259_bWwAENHb2?format=jpg&name=small'],https://twitter.com/patric_ph/status/1643173916247040001
