UserName,Handle&Toxic,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image_link,Tweet_URL
@matakoyako73,Matako Yako,2023-02-09,,embedded,,12,43,23,https://nitter.it/pic/enc/YWJzLnR3aW1nLmNvbS9zdGlja3kvZGVmYXVsdF9wcm9maWxlX2ltYWdlcy9kZWZhdWx0X3Byb2ZpbGVfYmlnZ2VyLnBuZw==,https://nitter.it/matakoyako73
@MkunduWa,mkundu wa dada yako,2023-02-09,,embedded,,12,43,23,https://nitter.it/pic/enc/YWJzLnR3aW1nLmNvbS9zdGlja3kvZGVmYXVsdF9wcm9maWxlX2ltYWdlcy9kZWZhdWx0X3Byb2ZpbGVfYmlnZ2VyLnBuZw==,https://nitter.it/MkunduWa
@MkunduYako,Mkundu Yako,2023-02-09,,embedded,,12,43,23,https://nitter.it/pic/enc/YWJzLnR3aW1nLmNvbS9zdGlja3kvZGVmYXVsdF9wcm9maWxlX2ltYWdlcy9kZWZhdWx0X3Byb2ZpbGVfYmlnZ2VyLnBuZw==,https://nitter.it/MkunduYako
@yakomatako,matako yako,2023-02-09,,embedded,,12,43,23,https://nitter.it/pic/enc/YWJzLnR3aW1nLmNvbS9zdGlja3kvZGVmYXVsdF9wcm9maWxlX2ltYWdlcy9kZWZhdWx0X3Byb2ZpbGVfYmlnZ2VyLnBuZw==,https://nitter.it/yakomatako
@yako_matako,matako yako,2023-02-09,,embedded,,12,43,23,https://nitter.it/pic/enc/YWJzLnR3aW1nLmNvbS9zdGlja3kvZGVmYXVsdF9wcm9maWxlX2ltYWdlcy9kZWZhdWx0X3Byb2ZpbGVfYmlnZ2VyLnBuZw==,https://nitter.it/yako_matako
@matakoyako1,matako yako,2023-02-09,,embedded,,12,43,23,https://nitter.it/pic/enc/YWJzLnR3aW1nLmNvbS9zdGlja3kvZGVmYXVsdF9wcm9maWxlX2ltYWdlcy9kZWZhdWx0X3Byb2ZpbGVfYmlnZ2VyLnBuZw==,https://nitter.it/matakoyako1
@MATAKOYAKO5,MATAKO YAKO,2023-02-09,,embedded,,12,43,23,https://nitter.it/pic/enc/YWJzLnR3aW1nLmNvbS9zdGlja3kvZGVmYXVsdF9wcm9maWxlX2ltYWdlcy9kZWZhdWx0X3Byb2ZpbGVfYmlnZ2VyLnBuZw==,https://nitter.it/MATAKOYAKO5
@matako_yako,Chas Zimmerman,2023-02-09,,embedded,,12,43,23,https://nitter.it/pic/enc/YWJzLnR3aW1nLmNvbS9zdGlja3kvZGVmYXVsdF9wcm9maWxlX2ltYWdlcy9kZWZhdWx0X3Byb2ZpbGVfYmlnZ2VyLnBuZw==,https://nitter.it/matako_yako
